>>>> L3 <<<<
Testing robby/3-test/97.L3 .... passed
Testing robby/3-test/96.L3 .... passed
Testing robby/3-test/95.L3 .... passed
Testing robby/3-test/94.L3 .... passed
Testing robby/3-test/93.L3 .... passed
Testing robby/3-test/92.L3 .... passed
Testing robby/3-test/91.L3 .... passed
Testing robby/3-test/90.L3 .... passed
Testing robby/3-test/9.L3 ..... passed
Testing robby/3-test/89.L3 .... passed
Testing robby/3-test/88.L3 .... passed
Testing robby/3-test/87.L3 .... failed (wrong output)
Actual:   "{s:4, 1, 2, 5, 4}\n5\nError: expected a word-aligned stack or heap address but got 1 in instruction (bounds-temp <- (mem arr 0))\nRegisters:\n'((eax \"(8, 0)(H)\")\n  (ebp \"-4(S)\")\n  (ebx \"init-ebx\")\n  (edi \"init-edi\")\n  (esi \"init-esi\")\n  (esp \"-4(S)\"))\nStack:\n'((-16 \"return address: (allocatebindingxxxxxxx <- eax) ...\")\n  (-12 \"3(1)\")\n  (-8 \"3(1)\")\n  (-4 \"4(S)\")\n  (0 \"return address: (goto :exit) ...\"))\nHeap:\n'((0 \"#(1(0) 3(1))\")\n  (1 \"#(1(0) 3(1))\")\n  (2 \"#(4(X) 3(1) 5(2) 11(5) 9(4))\")\n  (3 \"#(1(0) 3(1))\")\n  (4 \"#(1(0) 3(1))\")\n  (5 \"#(1(0) 3(1))\")\n  (6 \"#(1(0) 3(1))\")\n  (7 \"#(1(0) 3(1))\")\n  (8 \"#(1(0) 3(1))\"))\n"
Expected: "{s:4, 1, 2, 5, 4}\n5\n2\n{s:4, 1, 5, 3, 4}\n{s:4, 1, 5, 3, 4}\n{s:4, 1, 5, 3, 4}\n0\n"
Testing robby/3-test/86.L3 .... failed (wrong output)
Actual:   "{s:4, 1, 2, 5, 4}\n5\nError: expected a word-aligned stack or heap address but got 1 in instruction (bounds-temp <- (mem arr 0))\nRegisters:\n'((eax \"1(0)\")\n  (ebp \"-4(S)\")\n  (ebx \"init-ebx\")\n  (edi \"init-edi\")\n  (esi \"init-esi\")\n  (esp \"-4(S)\"))\nStack:\n'((-16 \"return address: ((mem eax 4) <- 3) ...\")\n  (-12 \"return address: (x <- 3) ...\")\n  (-8 \"11(5)\")\n  (-4 \"4(S)\")\n  (0 \"return address: (goto :exit) ...\"))\nHeap:\n'((0 \"#(4(X) 3(1) 5(2) 11(5) 9(4))\"))\n"
Expected: "{s:4, 1, 2, 5, 4}\n5\n2\n{s:4, 1, 5, 3, 4}\n{s:4, 1, 5, 3, 4}\n{s:4, 1, 5, 3, 4}\n0\n"
Testing robby/3-test/85.L3 .... passed
Testing robby/3-test/84.L3 .... passed
Testing robby/3-test/83.L3 .... passed
Testing robby/3-test/82.L3 .... passed
Testing robby/3-test/81.L3 .... passed
Testing robby/3-test/80.L3 .... passed
Testing robby/3-test/8.L3 ..... passed
Testing robby/3-test/79.L3 .... passed
Testing robby/3-test/78.L3 .... passed
Testing robby/3-test/77.L3 .... passed
Testing robby/3-test/76.L3 .... passed
Testing robby/3-test/75.L3 .... passed
Testing robby/3-test/74.L3 .... passed
Testing robby/3-test/73.L3 .... passed
Testing robby/3-test/72.L3 .... passed
Testing robby/3-test/71.L3 .... passed
Testing robby/3-test/70.L3 .... passed
Testing robby/3-test/7.L3 ..... passed
Testing robby/3-test/69.L3 .... passed
Testing robby/3-test/68.L3 .... passed
Testing robby/3-test/67.L3 .... passed
Testing robby/3-test/66.L3 .... passed
Testing robby/3-test/65.L3 .... passed
Testing robby/3-test/64.L3 .... passed
Testing robby/3-test/63.L3 .... passed
Testing robby/3-test/62.L3 .... passed
Testing robby/3-test/61.L3 .... passed
Testing robby/3-test/60.L3 .... passed
Testing robby/3-test/6.L3 ..... passed
Testing robby/3-test/59.L3 .... passed
Testing robby/3-test/58.L3 .... passed
Testing robby/3-test/57.L3 .... passed
Testing robby/3-test/56.L3 .... passed
Testing robby/3-test/55.L3 .... passed
Testing robby/3-test/54.L3 .... passed
Testing robby/3-test/53.L3 .... passed
Testing robby/3-test/52.L3 .... passed
Testing robby/3-test/51.L3 .... passed
Testing robby/3-test/50.L3 .... passed
Testing robby/3-test/5.L3 ..... passed
Testing robby/3-test/49.L3 .... passed
Testing robby/3-test/48.L3 .... passed
Testing robby/3-test/47.L3 .... passed
Testing robby/3-test/46.L3 .... passed
Testing robby/3-test/45.L3 .... passed
Testing robby/3-test/44.L3 .... passed
Testing robby/3-test/43.L3 .... passed
Testing robby/3-test/42.L3 .... passed
Testing robby/3-test/41.L3 .... passed
Testing robby/3-test/40.L3 .... passed
Testing robby/3-test/4.L3 ..... passed
Testing robby/3-test/39.L3 .... passed
Testing robby/3-test/38.L3 .... passed
Testing robby/3-test/37.L3 .... passed
Testing robby/3-test/36.L3 .... passed
Testing robby/3-test/35.L3 .... passed
Testing robby/3-test/34.L3 .... passed
Testing robby/3-test/33.L3 .... passed
Testing robby/3-test/32.L3 .... passed
Testing robby/3-test/31.L3 .... passed
Testing robby/3-test/30.L3 .... passed
Testing robby/3-test/3.L3 ..... passed
Testing robby/3-test/29.L3 .... passed
Testing robby/3-test/28.L3 .... passed
Testing robby/3-test/27.L3 .... passed
Testing robby/3-test/26.L3 .... passed
Testing robby/3-test/25.L3 .... passed
Testing robby/3-test/24.L3 .... passed
Testing robby/3-test/23.L3 .... passed
Testing robby/3-test/22.L3 .... passed
Testing robby/3-test/21.L3 .... passed
Testing robby/3-test/20.L3 .... passed
Testing robby/3-test/2.L3 ..... passed
Testing robby/3-test/19.L3 .... passed
Testing robby/3-test/18.L3 .... passed
Testing robby/3-test/17.L3 .... passed
Testing robby/3-test/16.L3 .... passed
Testing robby/3-test/15.L3 .... passed
Testing robby/3-test/14.L3 .... passed
Testing robby/3-test/13.L3 .... passed
Testing robby/3-test/12.L3 .... passed
Testing robby/3-test/11.L3 .... passed
Testing robby/3-test/10.L3 .... passed
Testing robby/3-test/1.L3 ..... passed
Testing robby/3-test/0.L3 ..... passed
Testing 39/3-test/test9.L3 .... passed
Testing 39/3-test/test8.L3 .... passed
Testing 39/3-test/test7.L3 .... passed
Testing 39/3-test/test6.L3 .... passed
Testing 39/3-test/test5.L3 .... passed
Testing 39/3-test/test4.L3 .... passed
Testing 39/3-test/test3.L3 .... passed
Testing 39/3-test/test2.L3 .... failed (wrong output)
Actual:   "Load error: label :magic_if_label_0else defined twice\n"
Expected: "3\n6\n"
Testing 39/3-test/test15.L3 ... passed
Testing 39/3-test/test14.L3 ... passed
Testing 39/3-test/test13.L3 ... passed
Testing 39/3-test/test12.L3 ... passed
Testing 39/3-test/test11.L3 ... passed
Testing 39/3-test/test10.L3 ... passed
Testing 39/3-test/test1.L3 .... passed
Testing 37/3-test/test9.L3 .... passed
Testing 37/3-test/test8.L3 .... passed
Testing 37/3-test/test15.L3 ... passed
Testing 37/3-test/test14.L3 ... passed
Testing 37/3-test/test13.L3 ... passed
Testing 37/3-test/test12.L3 ... passed
Testing 37/3-test/test11.L3 ... passed
Testing 37/3-test/test10.L3 ... passed
Testing 37/3-test/test1.L3 .... passed
Testing 36/3-test/9.L3 ........ passed
Testing 36/3-test/8.L3 ........ passed
Testing 36/3-test/7.L3 ........ passed
Testing 36/3-test/6.L3 ........ passed
Testing 36/3-test/5.L3 ........ passed
Testing 36/3-test/4.L3 ........ passed
Testing 36/3-test/3.L3 ........ passed
Testing 36/3-test/2.L3 ........ passed
Testing 36/3-test/15.L3 ....... passed
Testing 36/3-test/14.L3 ....... passed
Testing 36/3-test/13.L3 ....... passed
Testing 36/3-test/12.L3 ....... passed
Testing 36/3-test/11.L3 ....... passed
Testing 36/3-test/10.L3 ....... passed
Testing 36/3-test/1.L3 ........ passed
Testing 35/3-test/o.L3 ........ passed
Testing 35/3-test/n.L3 ........ passed
Testing 35/3-test/m.L3 ........ passed
Testing 35/3-test/l.L3 ........ passed
Testing 35/3-test/k.L3 ........ passed
Testing 35/3-test/j.L3 ........ passed
Testing 35/3-test/i.L3 ........ passed
Testing 35/3-test/h.L3 ........ passed
Testing 35/3-test/g.L3 ........ failed (compiler produced ill-formed output)
Testing 35/3-test/f.L3 ........ passed
Testing 35/3-test/e.L3 ........ passed
Testing 35/3-test/d.L3 ........ passed
Testing 35/3-test/c.L3 ........ passed
Testing 35/3-test/b.L3 ........ passed
Testing 35/3-test/a.L3 ........ passed
>>>> Summaries <<<<
L3: 148 of 152 (97%)
